Cuvant: ~If~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~469~
Cuvant: ~cloudburst~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Railway~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Mail~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Clerks~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~postmasters~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~shoveled~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~muck~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~rights-of-way~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~flood's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Burlington~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~ferried~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Kent~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~piling~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~undisrupted~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Concord~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~easing~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Burlington's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~bottleneck~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Montpelier~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~aviator~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Burns~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hastily-summoned~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~wide-winged~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Jenny~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~DeHaviland~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~two-seaters~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sod~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~flood-ravaged~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Towne~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~hillside~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~takeoffs~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~landings~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Barre~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~crumpled~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Anticipating~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~yeast~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Granite~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~airfield~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~quarrymen~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~172nd~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Infantry~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~runways~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Millstone~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Aviation~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~makeshift~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~airports~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~flyers~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hops~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hob~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~recently-passed~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~empowering~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~clogging~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~terminals~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~flier~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Fogg~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~Englander~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~barnstormer~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Tall~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~wiry~; Parte expl.: ~adjectiv~; Nr. intrari: ~5~
Cuvant: ~racked~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Piloting~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Curtiss~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~MF~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Winnipesaukee~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~inaugurated~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~Delivery~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Lindbergh's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~aviators~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~legendary~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~Public-spirited~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~backers~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Waco~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~225/hp~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Whirlwind~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~trim~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~silver-painted~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~22-1/2~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~On-to-Spokane~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~leak~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~wry-faced~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~airline~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~deviation~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~unsafe~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~roundabout~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~haul~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~begged~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~safer~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~flat-topped~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~countered~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~uphill~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~downwind~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~snow-covered~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Aide~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Reuben~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Sleight~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Wolfe~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~blur~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Faced~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Postmaster~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~McKenna~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~scouted~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~passable~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Somers~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~landing~; Parte expl.: ~substantiv~; Nr. intrari: ~10~
Cuvant: ~Barre-Montpelier~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~pouches~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~telegram~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Fogg's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~one-man~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~one-plane~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sub-freezing~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~vagaries~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~navigation~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~crawled~; Parte expl.: ~verb~; Nr. intrari: ~13~
Cuvant: ~bundle~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~togs~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~old-style~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~sheepskin~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~sheep-lined~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~helmet~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~goggles~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~mittens~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~rigors~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~airman's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Weren't~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Became~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~notice~; Parte expl.: ~verb~; Nr. intrari: ~15~
Cuvant: ~frosty~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~wind-velocity~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~visibility~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Ceilings~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~supervised~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Hartwell~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Caleb~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Marston~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~drafty~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~hangar~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~He'd~; Parte expl.: ~pronume~; Nr. intrari: ~8~
Cuvant: ~Wishing~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~aviation~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~disregarding~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~sleet~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~rackety~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Whirlwind's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~overhead~; Parte expl.: ~adverb~; Nr. intrari: ~5~
Cuvant: ~blocked~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~85%~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Plane~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~reckoning~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~threading~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~overcast~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~mist~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~socked~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~chandelle~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Ottauquechee~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Danville~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~ticked~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~idling~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~exchanged~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~messenger~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~return~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~deduce~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~meadows~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Merrimack~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Instrument~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Ground~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Approach~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~nose~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~recognizable~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~thawed~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~shuttled~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~barnyards~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~repairmen~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~stubby~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~near-misses~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~flip~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~miscalculated~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~barracks~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~revved~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~cup~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~slipstream~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Tracks~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~powdery~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~Surrounded~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~elms~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Georgian~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~Dartmouth~; Parte expl.: ~substantiv~; Nr. intrari: ~24~
Cuvant: ~Hanover's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Haven~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~stream~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Wellesley~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~rakish~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~sophisticate~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~citybred~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~pokes~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~manly~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~camaraderie~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~unequaled~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Ivy~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~Dartmouth's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Winter~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~wildest~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~roaringest~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~hookup~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Prexy~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dickey~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~tam-o'-shanter~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dickey's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~retriever~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~informality~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~disdain~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~cropped~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Thaddeus~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Seymour~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~ski~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~beauteous~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~damsel~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~temptingly~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~kissed~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~sang-froid~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~canoe~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Ledyard~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~scooped~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~canoe~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~travelers~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~unappreciated~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~throng~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~riverbanks~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Northampton~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~refresh~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~voyageurs~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~kisses~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~skiing~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~skis~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~outnumbered~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Ski~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Team~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Intercollegiate~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~ski~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~ski-joring~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Skiway~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Holt's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Ledge~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~terrains~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Moosilauke~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Ravine~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Lodge~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~freshmen~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Outing~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~trails~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~hand-hewn~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~spruce~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~lounging~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~cabins~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~logging~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~blankets~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~hikes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~climbing~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~Mountaineering~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~climbs~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~McKinley~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Bait~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sports~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Woodman's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~competes~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~sawing~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~chopping~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~attuned~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Ivies~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~handle~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~sawmill~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~backwoods~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Himalayas~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~loudly~; Parte expl.: ~adverb~; Nr. intrari: ~9~
Cuvant: ~Hanoverian~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~casting~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~proctor~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~tug-o'-war~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~factions~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~judicial~; Parte expl.: ~adjectiv~; Nr. intrari: ~8~
Cuvant: ~debating~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~inviolability~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~charters~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Webster~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~oratory~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~orators~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~bathed~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~Dan'l~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~thundering~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~sir~; Parte expl.: ~substantiv~; Nr. intrari: ~24~
Cuvant: ~Webster's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Eleazar~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Presbyterian~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~earl~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~pausing~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~plain~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~remoteness~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~log~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~hut~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Tribes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~civilizing~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~christianizing~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Children~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Pagans~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Wheelock's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hacked~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~trackless~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Portsmouth~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Wentworth~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~commencement~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~retinue~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~thoughtfully~; Parte expl.: ~adverb~; Nr. intrari: ~9~
Cuvant: ~punchbowl~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~exuberance~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~punch~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~near-by~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~underclassman~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~disdaining~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~harangued~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~assemblage~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~aboriginal~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~ox~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~three-hundred-foot~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~pines~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~broached~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~drunk~; Parte expl.: ~adjectiv~; Nr. intrari: ~16~
Cuvant: ~carving~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~commencements~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~decorous~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Penn~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~sixty-nine~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Spartan~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Jewett~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~college's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~1,107~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~attesting~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~C.C.N.Y.~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
